date,amount,category,description
05-03-2025,118,Expense,Breakfast
05-03-2025,99.0,Expense,Lunch
05-03-2025,50.0,Expense,Transport
05-03-2025,200.0,Expense,Grocery
04-03-2025,500.0,Expense,Online Shopping
04-03-2025,150.0,Expense,Gas
03-03-2025,75.0,Expense,Coffee
02-03-2025,120.0,Expense,Dining Out
01-03-2025,69.88,Expense,Snacks
01-03-2025,250.0,Expense,Subscription
28-02-2025,19000.0,Income,Salary
27-02-2025,150.50,Expense,Dinner
26-02-2025,500.0,Expense,Medical
25-02-2025,200.0,Expense,Grocery
24-02-2025,400.0,Expense,Clothing
23-02-2025,100.0,Expense,Entertainment
22-02-2025,600.0,Expense,Home Maintenance
21-02-2025,800.0,Expense,Electronics
20-02-2025,5000.0,Income,Freelance Payment
19-02-2025,700.0,Expense,Hotel Stay
18-02-2025,300.75,Expense,Shopping
17-02-2025,50.0,Expense,Books
16-02-2025,1000.0,Expense,Car Repair
15-02-2025,250.0,Expense,Utilities
14-02-2025,150.0,Expense,Valentineâ€™s Gift
13-02-2025,80.0,Expense,Movie Tickets
12-02-2025,60.0,Expense,Fast Food
11-02-2025,450.0,Expense,Pet Supplies
10-02-2025,1200.0,Income,Bonus
09-02-2025,300.0,Expense,Gym Membership
08-02-2025,900.0,Income,Dividend Payout
07-02-2025,85.0,Expense,Taxi Fare
06-02-2025,600.0,Expense,Furniture
05-02-2025,130.0,Expense,Haircut
04-02-2025,400.0,Expense,Concert Tickets
03-02-2025,50.0,Expense,Parking Fees
02-02-2025,1500.0,Income,Stock Market Gains
01-02-2025,350.0,Expense,Home Decor
